district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
DUNGARPUR,SIMALWARA,39584.58,174.12,0.44,Dungarpur,1120.26,25.21249315068493,57.162410958904104,2.410767123287671,96.81912328767125,41.62
DUNGARPUR,BICHHIWARA,50309.28,92.02,0.18,Dungarpur,1120.26,25.21249315068493,57.162410958904104,2.410767123287671,96.81912328767125,41.62
DUNGARPUR,SAGWARA,59680.35,1153.16,1.93,Dungarpur,1120.26,25.21249315068493,57.162410958904104,2.410767123287671,96.81912328767125,41.62
DUNGARPUR,DUNGARPUR,77209.0,209.91,0.27,Dungarpur,1120.26,25.21249315068493,57.162410958904104,2.410767123287671,96.81912328767125,41.62
GANGANAGAR,VIJAY NAGAR,81033.64,12050.05,14.87,Sri Ganganagar,567.65,26.663863013698627,40.36882191780822,1.8204109589041098,98.76728767123286,47.36
GANGANAGAR,ANUPGARH,111398.8,12987.5,11.66,Sri Ganganagar,567.65,26.663863013698627,40.36882191780822,1.8204109589041098,98.76728767123286,47.36
HANUMANGARH,SANGHRIYA,63679.47,23.52,0.04,Hanumangarh,607.83,26.482246575342465,41.87720547945206,1.885150684931507,98.59498630136986,46.97
HANUMANGARH,TIBI,72384.28,4195.85,5.8,Hanumangarh,607.83,26.482246575342465,41.87720547945206,1.885150684931507,98.59498630136986,46.97
HANUMANGARH,PILIBANGA,96833.64,7557.7,7.8,Hanumangarh,607.83,26.482246575342465,41.87720547945206,1.885150684931507,98.59498630136986,46.97
JAIPUR,VIRAT NAGAR,46646.27,3905.46,8.37,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,CHAKSU,50040.17,308.34,0.62,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,SHAHPURA,50853.3,3160.17,6.21,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,MOZAMABAD,62189.98,3144.78,5.06,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,RENWAL,56596.31,2616.18,4.62,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,SANGANER,68380.03,971.67,1.42,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,KOTPUTLI,78278.61,5220.52,6.67,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,PHAGI,107744.28,10889.7,10.11,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
