district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,avg_annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
BARMER,GUDHAMALANI,124423.03,9305.57,7.48,Barmer,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72
BARMER,PACHPADRA,335228.84,7020.33,2.09,Barmer,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72
BARMER,BAYTOO,138324.76,275.66,0.2,Barmer,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72
BARMER,SINDARI,158110.47,7375.3,4.66,Barmer,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72
BARMER,SERWA,252901.45,2420.59,0.96,Barmer,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72
BHARATPUR,RUPWAS,54031.05,2701.15,5.0,Bharatpur,595.6143243243243,26.49604706230576,41.71643554832026,1.9797232499630013,98.48568077549209,91.83
BHARATPUR,BAYANA,75032.66,494.37,0.66,Bharatpur,595.6143243243243,26.49604706230576,41.71643554832026,1.9797232499630013,98.48568077549209,91.83
BHILWARA,HAMIRGARH,24371.24,3855.93,15.82,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,BADNOR,36790.34,621.35,1.69,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,KARERA,54497.39,472.81,0.87,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,SAHARA,62435.74,513.1,0.82,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,BANERA,63790.11,31.64,0.05,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,ASIND,72269.87,1799.48,2.49,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,MANDAL,62713.21,1322.04,2.11,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,BHILWARA,69286.19,3035.88,4.38,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,HURARA,60183.4,1008.02,1.67,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,PHULIYA KALAN,42369.13,1734.73,4.09,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,MANDALGARH,89498.71,6832.84,7.63,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,KOTARI,89815.42,8034.91,8.95,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BHILWARA,JAHAJPUR,103968.05,8945.89,8.6,Bhilwara,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64
BUNDI,INDERGARH,61279.77,9828.18,16.04,Bundi,655.7367567567567,26.286040402545506,42.79847269498298,2.1376091460707416,97.32347269498297,124.73
BUNDI,BUNDI,92855.34,142.69,0.15,Bundi,655.7367567567567,26.286040402545506,42.79847269498298,2.1376091460707416,97.32347269498297,124.73
CHITTAURGARH,KAPASAN,49286.46,677.57,1.37,Chittorgarh,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13
CHITTAURGARH,GANGRAR,53518.71,742.19,1.39,Chittorgarh,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13
CHITTAURGARH,CHITTAURGARH,94911.69,3269.32,3.44,Chittorgarh,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13
CHITTAURGARH,RAWATBHATA,155485.79,8823.75,5.67,Chittorgarh,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13
CHITTAURGARH,BEGUN,88416.72,643.04,0.73,Chittorgarh,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13
DHAULPUR,SEPAU,29638.33,183.43,0.62,Dholpur,674.1978378378378,26.60415865028859,43.33111883972177,1.9932810418824922,98.70990602338316,116.87
DHAULPUR,RAJAKHERA,38839.56,6390.43,16.45,Dholpur,674.1978378378378,26.60415865028859,43.33111883972177,1.9932810418824922,98.70990602338316,116.87
DHAULPUR,SARMATHURA,62830.9,1801.89,2.87,Dholpur,674.1978378378378,26.60415865028859,43.33111883972177,1.9932810418824922,98.70990602338316,116.87
DHAULPUR,BARI,77006.81,2330.47,3.03,Dholpur,674.1978378378378,26.60415865028859,43.33111883972177,1.9932810418824922,98.70990602338316,116.87
DUNGARPUR,GALIACOT,18887.9,1036.85,5.49,Dungarpur,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17
DUNGARPUR,CHIKHLI,24292.84,807.69,3.32,Dungarpur,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17
DUNGARPUR,ASPUR,33568.9,973.14,2.9,Dungarpur,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17
DUNGARPUR,SABLA,34648.56,3092.24,8.92,Dungarpur,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17
DUNGARPUR,SIMALWARA,39584.58,174.12,0.44,Dungarpur,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17
DUNGARPUR,BICHHIWARA,50309.28,92.02,0.18,Dungarpur,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17
DUNGARPUR,SAGWARA,59680.35,1153.16,1.93,Dungarpur,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17
DUNGARPUR,DUNGARPUR,77209.0,209.91,0.27,Dungarpur,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17
GANGANAGAR,VIJAY NAGAR,81033.64,12050.05,14.87,Sri Ganganagar,292.70810810810815,27.020676335651917,33.45003847861477,1.8429643332840018,98.76141112919935,337.99
GANGANAGAR,ANUPGARH,111398.8,12987.5,11.66,Sri Ganganagar,292.70810810810815,27.020676335651917,33.45003847861477,1.8429643332840018,98.76141112919935,337.99
HANUMANGARH,SANGHRIYA,63679.47,23.52,0.04,Hanumangarh,353.51594594594593,26.801407429332542,34.6512187361255,1.9126098860441023,98.59077401213555,111.74
HANUMANGARH,TIBI,72384.28,4195.85,5.8,Hanumangarh,353.51594594594593,26.801407429332542,34.6512187361255,1.9126098860441023,98.59077401213555,111.74
HANUMANGARH,PILIBANGA,96833.64,7557.7,7.8,Hanumangarh,353.51594594594593,26.801407429332542,34.6512187361255,1.9126098860441023,98.59077401213555,111.74
JAIPUR,VIRAT NAGAR,46646.27,3905.46,8.37,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
